/**@file
 * @brief 机器人嵌入式日志记录系统
 * @version
    mainVersion  : V2.2.2081_20260407_svn1793734
    rsmLibVersion: 
    rmpLibVersion: 
    rmcLibVersion: 
    platform_version: 1
    os_version: 2
 */
[    0][2026-05-01 18:46:36.127384][I][CTL]flush print buffer task start...

[    1][2026-05-01 18:46:36.502251][I][CTL]check_mvenc_dog_info success DA8807813 202512
[    2][2026-05-01 18:46:36.515214][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name rtlogSend0 tid 140524128397056 is_rt 1

[    3][2026-05-01 18:46:36.516387][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name rtlog_recv0 tid 140524127344384 is_rt 0

[    4][2026-05-01 18:46:36.517050][I][CTL]rtrcd_xddp_fd_init success

[    5][2026-05-01 18:46:36.517983][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name rtrcdSend0 tid 140524125243136 is_rt 1

[    6][2026-05-01 18:46:36.517993][I][CTL]rtrcd send thread create ret 0

[    7][2026-05-01 18:46:36.519101][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name rtrcd_recv0 tid 140524124190464 is_rt 0

[    8][2026-05-01 18:46:36.519110][I][CTL]rtrcd recv thread create ret: 0

[    9][2026-05-01 18:46:36.519191][I][CTL]This system has 4 processors configured and 4 processors available.
[   10][2026-05-01 18:46:36.520805][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name cpu_monitor0 tid 140524122089216 is_rt 1

[   11][2026-05-01 18:46:36.526680][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name nrt_handler0 tid 140524118939392 is_rt 0

[   12][2026-05-01 18:46:36.527853][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name rt_handler0 tid 140524108449536 is_rt 1

[   13][2026-05-01 18:46:36.530046][I][CTL]init_robot_config_param_map ret 0
[   14][2026-05-01 18:46:36.530980][I][CTL]init_robot_calib_param_map ret 0
[   15][2026-05-01 18:46:36.534207][I][CTL]recover default encoder zero info from capa
[   16][2026-05-01 18:46:36.534868][E][CTL]osl runtime debug[/data/jenkins/workspace/MVD-pci-Pipeline/187416/component/osl/app/src/linux_os_api.c:598]: create thread name param_wrtie0 tid 140524106348288 is_rt 0

[   17][2026-05-01 18:46:36.534878][I][CTL]init param manager ret 0
[   18][2026-05-01 18:46:36.534885][I][CTL]robot_config pre check bound 0x55bec46434b0 success
[   19][2026-05-01 18:46:36.534890][I][CTL]pre_load_default_display_cs pre load ret 0
[   20][2026-05-01 18:46:36.534895][I][CTL]exec_preload_param finish ret 0
[   21][2026-05-01 18:46:36.534898][I][CTL]init param app finish 
[   22][2026-05-01 18:46:36.534906][I][CTL]start construct licensing system

[   23][2026-05-01 18:46:36.647781][E][CTL]child exit with 0
[   24][2026-05-01 18:46:36.647883][I][CTL]vision bind state is false
[   25][2026-05-01 18:46:36.647900][I][CTL]license feature NON enable

[   26][2026-05-01 18:46:36.647907][I][CTL]license feature profinet enable

[   27][2026-05-01 18:46:36.647911][I][CTL]license feature ethernet_ip enable

[   28][2026-05-01 18:46:36.647915][E][CTL]license feature (null) disable, feature license info invalid

[   29][2026-05-01 18:46:36.647921][E][CTL]license feature (null) disable, feature license info invalid

[   30][2026-05-01 18:46:36.647924][I][CTL]license feature vibration_suppression enable

[   31][2026-05-01 18:46:36.647928][I][CTL]license feature interfering_space enable

[   32][2026-05-01 18:46:36.647931][I][CTL]license feature collision_detection enable

[   33][2026-05-01 18:46:36.647935][I][CTL]license feature arc_welding enable

[   34][2026-05-01 18:46:36.647938][I][CTL]license feature cclink_basic enable

[   35][2026-05-01 18:46:36.647941][I][CTL]license feature conveyor_package enable

[   36][2026-05-01 18:46:36.647945][I][CTL]license feature vision_bind disable, please request authorization

[   37][2026-05-01 18:46:36.647950][I][CTL]ams licensing feature func setup: LFL_NON

[   38][2026-05-01 18:46:36.647955][I][CTL]ams licensing feature func setup: LFL_PROFINET

[   39][2026-05-01 18:46:36.647959][I][CTL]ams licensing feature func setup: LFL_ETHERNET_IP

[   40][2026-05-01 18:46:36.647961][I][CTL]ams licensing feature func setup: LFL_VIBRATION_SUPPRESSION

[   41][2026-05-01 18:46:36.647964][I][CTL]ams licensing feature func setup: LFL_INTERFERING_SPACE

[   42][2026-05-01 18:46:36.647968][I][CTL]ams licensing feature func setup: LFL_COLLISION_DETECTION

[   43][2026-05-01 18:46:36.647972][I][CTL]ams licensing feature func setup: LFL_WELD_PACKAGE

[   44][2026-05-01 18:46:36.647975][I][CTL]ams licensing feature func setup: LFL_CCLINK_IEB

[   45][2026-05-01 18:46:36.647977][I][CTL]ams licensing feature func setup: LFL_CONVEYOR_PACKAGE

[   46][2026-05-01 18:46:36.647980][I][CTL]ams licensing feature func setup: LFL_VISION_BIND

[   47][2026-05-01 18:46:36.647983][I][CTL]construct licensing system success

